heading_id,description,guide,guide_id,fqcc,sid
0701,"Potatoes, fresh or chilled","Edible fruit, vegetables and nuts",5,0701000000,30241
0702,"Tomatoes, fresh or chilled","Edible fruit, vegetables and nuts",5,0702000000,30256
0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled","Edible fruit, vegetables and nuts",5,0703000000,30292
0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled","Edible fruit, vegetables and nuts",5,0704000000,30319
0705,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled","Edible fruit, vegetables and nuts",5,0705000000,30343
0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled","Edible fruit, vegetables and nuts",5,0706000000,30380
0707,"Cucumbers and gherkins, fresh or chilled","Edible fruit, vegetables and nuts",5,0707000000,30411
0708,"Leguminous vegetables, shelled or unshelled, fresh or chilled","Edible fruit, vegetables and nuts",5,0708000000,30423
0709,"Other vegetables, fresh or chilled","Edible fruit, vegetables and nuts",5,0709000000,30463
0710,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen","Edible fruit, vegetables and nuts",5,0710000000,30588
0711,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption","Edible fruit, vegetables and nuts",5,0711000000,30626
0712,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared","Edible fruit, vegetables and nuts",5,0712000000,30682
0713,"Dried leguminous vegetables, shelled, whether or not skinned or split","Edible fruit, vegetables and nuts",5,0713000000,30726
0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith","Edible fruit, vegetables and nuts",5,0714000000,30772
0801,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled","Edible fruit, vegetables and nuts",5,0801000000,30809
0802,"Other nuts, fresh or dried, whether or not shelled or peeled","Edible fruit, vegetables and nuts",5,0802000000,30815
0803,"Bananas, including plantains, fresh or dried","Edible fruit, vegetables and nuts",5,0803000000,30845
0804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried","Edible fruit, vegetables and nuts",5,0804000000,30853
0805,"Citrus fruit, fresh or dried","Edible fruit, vegetables and nuts",5,0805000000,30893
0806,"Grapes, fresh or dried","Edible fruit, vegetables and nuts",5,0806000000,31162
0807,"Melons (including watermelons) and papaws (papayas), fresh","Edible fruit, vegetables and nuts",5,0807000000,31215
0808,"Apples, pears and quinces, fresh","Edible fruit, vegetables and nuts",5,0808000000,31254
0809,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh","Edible fruit, vegetables and nuts",5,0809000000,31301
0810,"Other fruit, fresh","Edible fruit, vegetables and nuts",5,0810000000,31412
0811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter","Edible fruit, vegetables and nuts",5,0811000000,31524
0812,"Fruit and nuts, provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption","Edible fruit, vegetables and nuts",5,0812000000,31644
0813,"Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of this chapter","Edible fruit, vegetables and nuts",5,0813000000,31666
0814,"Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions","Edible fruit, vegetables and nuts",5,0814000000,31698
1006,Rice,Rice,17,1006000000,31827
1211,"Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh or dried, whether or not cut, crushed or powdered","Edible fruit, vegetables and nuts",5,1211000000,32237
2106,Food preparations not elsewhere specified or included,"Herbal medicines, tonics and supplements",9,2106000000,34567
2202,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, not including fruit or vegetable juices of heading 2009","Herbal medicines, tonics and supplements",9,2202000000,34638
