geographical_area_id,goods_nomenclature_item_id,measure_type_id,from,to,duty
AU,0702000000,142,15/05,31/10,10.50%
AU,0702000000,142,01/11,14/05,6.00%
AU,0808108000,142,01/01,31/03,3.00%
AU,0808108000,142,01/04,31/07,0.00%
AU,0808108000,142,01/08,31/12,6.00%
AU,0808309000,142,01/01,31/01,6.00%
AU,0808309000,142,01/02,31/03,3.00%
AU,0808309000,142,01/04,31/07,0.00%
AU,0808309000,142,01/08,31/12,7.50%
CL,0704100000,142,15/4,30/11,8.00%
CL,0704100000,142,1/12,14/4,6.10%
CL,0705110000,142,15/4,30/11,8.00%
CL,0705110000,142,1/12,14/4,6.10%
CL,0708200000,142,1/7,30/09,10.00%
CL,0708200000,142,1/10,30/6,6.90%
EG,0702000000,142,1/1,30/6,0.00%
EG,0702000000,142,1/11,21/12,0.00%
EG,0703200000,142,15/1,30/6,4.80%
EG,0703200000,143,15/01,30/06,0.00%
EG,0703200000,142,1/7,14/1,9.60%
EG,0707000500,143,15/11,15/05,0.00%
EG,0709910000,142,1/1,31/3,0.00%
EG,0709910000,142,1/11,31/12,0.00%
EG,0709931000,142,1/1,30/4,0.00%
EG,0709931000,142,1/10,31/12,0.00%
EG,0806101090,142,1/2,31/7,0.00%
EG,0810100000,143,01/10,30/04,0.00%
FO,0302410000,142,01/01,14/02,0.00%
FO,0302410000,142,16/06,31/12,0.00%
FO,0302440010,142,01/01,14/02,0.00%
FO,0302440010,142,16/06,31/12,0.00%
FO,0303510000,142,01/01,14/02,0.00%
FO,0303510000,142,16/06,31/12,0.00%
FO,0303541020,142,01/01,14/02,0.00%
FO,0303541020,142,16/06,31/12,0.00%
FO,0304992300,142,01/01,14/02,0.00%
FO,0304992300,142,16/06,31/12,0.00%
IL,0805102200,142,01/01,31/03,6.40%
IL,0805102200,142,01/04,30/04,4.10%
IL,0805102200,142,01/05,15/05,1.90%
IL,0805102200,142,16/05,15/10,1.20%
IL,0805102200,142,16/10,31/10,2.00%
IL,0805102200,142,01/11,31/12,6.40%
IL,0805102400,142,01/01,31/03,6.40%
IL,0805102400,142,01/04,30/04,4.10%
IL,0805102400,142,01/05,15/05,1.90%
IL,0805102400,142,16/05,15/10,1.20%
IL,0805102400,142,16/10,31/10,2.00%
IL,0805102400,142,01/11,31/12,6.40%
IL,0805102800,142,01/01,31/03,6.40%
