country,country_code,currency_code,currency_description
Abu Dhabi,DH,AED,Dirham
Afghanistan,AF,AFN,Afghani
Albania,AL,ALL,Lek
Algeria,DZ,DZD,Dinar
Angola,AO,AOA,Kwanza
Anguilla,AI,XCD,Eastern Caribbean dollar
Antigua and Barbuda,AG,XCD,Eastern Caribbean dollar
Argentina,AR,ARS,Peso
Armenia,AM,AMD,Dram
Aruba,AW,AWG,Florin
Australia,AU,AUD,Dollar
Azerbaijan,AZ,AZN,Manat
Bahamas,BS,BSD,Dollar
Bahrain,BH,BHD,Dinar
Bangladesh,BD,BDT,Taka
Barbados,BB,BBD,Dollar
Belarus,BY,BYN,Rouble
Belize,BZ,BZD,Dollar
Benin,BJ,XOF,West African CFA Franc
Bermuda,BM,BMD,Dollar (US)
